RXCUI|GENERIC_RXCUI|TTY|FULL_NAME|RXN_DOSE_FORM|FULL_GENERIC_NAME|BRAND_NAME|DISPLAY_NAME|ROUTE|NEW_DOSE_FORM|STRENGTH|SUPPRESS_FOR|DISPLAY_NAME_SYNONYM|IS_RETIRED|SXDG_RXCUI|SXDG_TTY|SXDG_NAME
1053158|637565|SBD|dimethicone 10 MG/ML / Zinc Oxide 120 MG/ML Topical Cream [Baza-Protect]|Topical Cream|dimethicone 10 MG/ML / Zinc Oxide 120 MG/ML Topical Cream|BAZA-PROTECT|BAZA-PROTECT (Topical)|Topical|Cream|1-12%||||1168655|SBDG|Baza-Protect Topical Product
1053200|198605|SBD|dimethicone 20 MG/ML Topical Lotion [Baza Cleanse and Protect]|Topical Lotion|dimethicone 20 MG/ML Topical Lotion|BAZA CLEANSE AND PROTECT|BAZA CLEANSE AND PROTECT (Topical)|Topical|Lotion|2%||||1168652|SBDG|Baza Cleanse and Protect Topical Product
1053207||SCD|Benzethonium Chloride 1 MG/ML Medicated Liquid Soap|Medicated Liquid Soap|Benzethonium Chloride 1 MG/ML Medicated Liquid Soap||Benzethonium (Soap)|Soap|Medicated Liquid Soap|0.1%||||1295351|SCDG|Benzethonium Soap Product
1053239|562785|SBD|Benzocaine 0.2 MG/MG Oral Paste [Orajel]|Oral Paste|Benzocaine 0.2 MG/MG Oral Paste|ORAJEL|ORAJEL (Oral Paste)|Oral Paste|Paste|20%||||1296206|SBDG|Orajel Oral Paste Product
1053241|798162|SBD|Benzocaine 75 MG/ML Medicated Pad [Orajel]|Medicated Pad|Benzocaine 75 MG/ML Medicated Pad|ORAJEL|ORAJEL (Topical)|Topical|Medicated Pad|7.5%||||1183411|SBDG|Orajel Topical Product
1053247|199645|SBD|Benzocaine 75 MG/ML Mucous Membrane Topical Solution [Orajel]|Mucous Membrane Topical Solution|Benzocaine 75 MG/ML Mucous Membrane Topical Solution|ORAJEL|ORAJEL (Mucosal)|Mucosal|Sol|7.5%||||1183405|SBDG|Orajel Mucosal Product
1053258||SCD|Brompheniramine Maleate 0.2 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution|Oral Solution|Brompheniramine Maleate 0.2 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution||Brompheniramine/Phenylephrine (Oral Liquid)|Oral Liquid|Sol|1-2.5 mg/5ml||||1156040|SCDG|Brompheniramine / Phenylephrine Oral Liquid Product
1053262|1053258|SBD|Brompheniramine Maleate 0.2 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution [Dimetapp Children's Cold and Allergy Reformulated Jan 2011]|Oral Solution|Brompheniramine Maleate 0.2 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution|DIMETAPP CHILDREN'S COLD AND ALLERGY REFORMULATED JAN 2011|DIMETAPP CHILDREN'S COLD AND ALLERGY REFORMULATED JAN 2011 (Oral Liquid)|Oral Liquid|Sol|1-2.5 mg/5ml||||1169630|SBDG|Dimetapp Children's Cold and Allergy Reformulated Jan 2011 Oral Liquid Product
105330|313222|SBD|terbinafine 250 MG Oral Tablet [Lamisil]|Oral Tablet|terbinafine 250 MG Oral Tablet|LAMISIL|LamISIL (Oral Pill)|Oral Pill|Tab|250 mg||||1174990|SBDG|Lamisil Pill
1053318|729783|SBD|Benzocaine 0.15 MG/MG / Menthol 0.02 MG/MG Oral Gel [Orajel Ultra]|Oral Gel|Benzocaine 0.15 MG/MG / Menthol 0.02 MG/MG Oral Gel|ORAJEL ULTRA|ORAJEL ULTRA (Oral Gel)|Oral Gel|Gel|15-2%||||1295904|SBDG|Orajel Ultra Oral Gel Product
1053327|994435|SBD|Aspirin 845 MG / Caffeine 65 MG Oral Powder [Stanback Headache Powder Reformulated Jan 2011]|Oral Powder|Aspirin 845 MG / Caffeine 65 MG Oral Powder|STANBACK HEADACHE POWDER REFORMULATED JAN 2011|STANBACK HEADACHE POWDER REFORMULATED JAN 2011 (Oral Powder)|Oral Powder|Pwdr|845-65 mg||||1297128|SBDG|Stanback Headache Powder Reformulated Jan 2011 Oral Powder Product
1053339|583152|SBD|Benzocaine 100 MG/ML Mucous Membrane Topical Solution [Tanac Liquid]|Mucous Membrane Topical Solution|Benzocaine 100 MG/ML Mucous Membrane Topical Solution|TANAC LIQUID|TANAC LIQUID (Mucosal)|Mucosal|Sol|10%||||1178454|SBDG|Tanac Liquid Mucosal Product
1053346||SCD|Magnesium Sulfate 1000 MG Granules|Granules|Magnesium Sulfate 1000 MG Granules||Magnesium Sulfate (Granules)|Granules|Granules|1 g||||1295216|SCDG|Magnesium Sulfate Granule Product
1053350|1006079|SBD|Benzocaine 0.2 MG/MG / Menthol 0.02 MG/MG Oral Gel [Orajel Ultra]|Oral Gel|Benzocaine 0.2 MG/MG / Menthol 0.02 MG/MG Oral Gel|ORAJEL ULTRA|ORAJEL ULTRA (Oral Gel)|Oral Gel|Gel|20-2%||||1295904|SBDG|Orajel Ultra Oral Gel Product
105337||SCD|Dapsone 100 MG / Pyrimethamine 12.5 MG Oral Tablet|Oral Tablet|Dapsone 100 MG / Pyrimethamine 12.5 MG Oral Tablet||Dapsone/Pyrimethamine (Oral Pill)|Oral Pill|Tab|100-12.5 mg||||1151855|SCDG|Dapsone / Pyrimethamine Pill
1053386||SCD|dimethicone 50 MG/ML / Menthol 5 MG/ML Topical Lotion|Topical Lotion|dimethicone 50 MG/ML / Menthol 5 MG/ML Topical Lotion||Dimethicone/Menthol (Topical)|Topical|Lotion|5-0.5%||||1159467|SCDG|dimethicone / Menthol Topical Product
1053429||SCD|Water 991 MG/ML Ophthalmic Irrigation Solution|Ophthalmic Irrigation Solution|Water 991 MG/ML Ophthalmic Irrigation Solution||Water (Ophthalmic)|Ophthalmic|Irrig Sol|99.1%||||1161795|SCDG|Water Ophthalmic Product
1053431|1053429|SBD|Water 991 MG/ML Ophthalmic Irrigation Solution [OcuFresh]|Ophthalmic Irrigation Solution|Water 991 MG/ML Ophthalmic Irrigation Solution|OCUFRESH|OCUFRESH (Ophthalmic)|Ophthalmic|Irrig Sol|99.1%||||1180556|SBDG|OcuFresh Ophthalmic Product
1053444|238910|SBD|Benzocaine 0.2 MG/MG Oral Gel [Benzo-Jel]|Oral Gel|Benzocaine 0.2 MG/MG Oral Gel|BENZO-JEL|BENZO-JEL (Oral Gel)|Oral Gel|Gel|20%||||1296575|SBDG|Benzo-Jel Oral Gel Product
105347||SCD|Mebendazole 100 MG Chewable Tablet|Chewable Tablet|Mebendazole 100 MG Chewable Tablet||Mebendazole (Chewable)|Chewable|Tab|100 mg||||1295154|SCDG|Mebendazole Chewable Product
1053590|998254|SBD|Chlorpheniramine Maleate 4 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet [Deconamine]|Oral Tablet|Chlorpheniramine Maleate 4 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet|DECONAMINE|DECONAMINE (Oral Pill)|Oral Pill|Tab|4-60 mg||||1170336|SBDG|Deconamine Pill
1053594||SCD|Psyllium 0.555 MG/MG Oral Powder|Oral Powder|Psyllium 0.555 MG/MG Oral Powder||Psyllium (Oral Powder)|Oral Powder|Pwdr|55.5%||||1295184|SCDG|Psyllium Oral Powder Product
1053605|998254|SBD|Chlorpheniramine Maleate 4 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet [Maxichlor PSE]|Oral Tablet|Chlorpheniramine Maleate 4 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet|MAXICHLOR PSE|MAXICHLOR PSE (Oral Pill)|Oral Pill|Tab|4-60 mg||||1181602|SBDG|Maxichlor PSE Pill
1053608||SCD|Dextromethorphan 3 MG/ML / Guaifenesin 42.2 MG/ML / Pseudoephedrine 6 MG/ML Oral Suspension|Oral Suspension|Dextromethorphan 3 MG/ML / Guaifenesin 42.2 MG/ML / Pseudoephedrine 6 MG/ML Oral Suspension||Dextromethorphan/Guaifenesin/Pseudoephedrine (Oral Liquid)|Oral Liquid|Susp|15-211-30 mg/5ml|C|||1154865|SCDG|Dextromethorphan / Guaifenesin / Pseudoephedrine Oral Liquid Product
1053618||SCD|Chlorpheniramine Maleate 0.4 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution|Oral Solution|Chlorpheniramine Maleate 0.4 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution||Chlorpheniramine/Pseudoephedrine (Oral Liquid)|Oral Liquid|Sol|2-30 mg/5ml||||1155142|SCDG|Chlorpheniramine / Pseudoephedrine Oral Liquid Product
1053620|1053618|SBD|Chlorpheniramine Maleate 0.4 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Deconamine]|Oral Solution|Chlorpheniramine Maleate 0.4 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution|DECONAMINE|DECONAMINE (Oral Liquid)|Oral Liquid|Sol|2-30 mg/5ml||||1170334|SBDG|Deconamine Oral Liquid Product
1053624||SCD|Chlorpheniramine Maleate 1 MG / Pseudoephedrine Hydrochloride 15 MG Chewable Tablet|Chewable Tablet|Chlorpheniramine Maleate 1 MG / Pseudoephedrine Hydrochloride 15 MG Chewable Tablet||Chlorpheniramine/Pseudoephedrine (Chewable)|Chewable|Tab|1-15 mg||||1295000|SCDG|Chlorpheniramine / Pseudoephedrine Chewable Product
1053628||SCD|Immune Globulin (Human) 100 MG/ML Injectable Solution|Injectable Solution|Immune Globulin (Human) 100 MG/ML Injectable Solution||Immune Globulin (Human) (Injectable)|Injectable|Sol|100 mg/ml||||1156296|SCDG|Immune Globulin (Human) Injectable Product
1053629||SCD|Chlorpheniramine Maleate 8 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Capsule|Extended Release Capsule|Chlorpheniramine Maleate 8 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Capsule||Chlorpheniramine/Pseudoephedrine XR (Oral Pill)|Oral Pill|XR Cap|8-120 mg|C|||1155144|SCDG|Chlorpheniramine / Pseudoephedrine Pill
1053647||SCD|Fentanyl 0.1 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.1 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.1 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053651|1053647|SBD|Fentanyl 0.1 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.1 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.1 mg||||1296074|SBDG|Abstral Sublingual Product
1053652||SCD|Fentanyl 0.2 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.2 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.2 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053654|1053652|SBD|Fentanyl 0.2 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.2 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.2 mg||||1296074|SBDG|Abstral Sublingual Product
1053655||SCD|Fentanyl 0.3 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.3 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.3 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053657|1053655|SBD|Fentanyl 0.3 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.3 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.3 mg||||1296074|SBDG|Abstral Sublingual Product
1053658||SCD|Fentanyl 0.4 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.4 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.4 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053660|1053658|SBD|Fentanyl 0.4 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.4 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.4 mg||||1296074|SBDG|Abstral Sublingual Product
1053661||SCD|Fentanyl 0.6 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.6 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.6 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053663|1053661|SBD|Fentanyl 0.6 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.6 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.6 mg||||1296074|SBDG|Abstral Sublingual Product
1053664||SCD|Fentanyl 0.8 MG Sublingual Tablet|Sublingual Tablet|Fentanyl 0.8 MG Sublingual Tablet||fentaNYL (Sublingual)|Sublingual|Tab|0.8 mg||||1294974|SCDG|Fentanyl Sublingual Product
1053666|1053664|SBD|Fentanyl 0.8 MG Sublingual Tablet [Abstral]|Sublingual Tablet|Fentanyl 0.8 MG Sublingual Tablet|ABSTRAL|ABSTRAL (Sublingual)|Sublingual|Tab|0.8 mg||||1296074|SBDG|Abstral Sublingual Product
1053697||SCD|Nystatin 100 UNT/MG / Triamcinolone Acetonide 0.001 MG/MG Topical Ointment|Topical Ointment|Nystatin 100 UNT/MG / Triamcinolone Acetonide 0.001 MG/MG Topical Ointment||Nystatin/Triamcinolone (Topical)|Topical|Ointment|100-0.001 var units||TAC||1160432|SCDG|Nystatin / Triamcinolone Topical Product
1053741||SCD|chlophedianol hydrochloride 25 MG / Guaifenesin 400 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet|Oral Tablet|chlophedianol hydrochloride 25 MG / Guaifenesin 400 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet||Chlophedianol/Guaifenesin/Pseudoephedrine (Oral Pill)|Oral Pill|Tab|25-400-60 mg|C|||1161256|SCDG|chlophedianol / Guaifenesin / Pseudoephedrine Pill
1053745|1053741|SBD|chlophedianol hydrochloride 25 MG / Guaifenesin 400 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet [Certuss-C]|Oral Tablet|chlophedianol hydrochloride 25 MG / Guaifenesin 400 MG / Pseudoephedrine Hydrochloride 60 MG Oral Tablet|CERTUSS-C|CERTUSS-C (Oral Pill)|Oral Pill|Tab|25-400-60 mg||||1167351|SBDG|Certuss-C Pill
1053753||SCD|Nystatin 100000 UNT/ML / Triamcinolone Acetonide 1 MG/ML Topical Cream|Topical Cream|Nystatin 100000 UNT/ML / Triamcinolone Acetonide 1 MG/ML Topical Cream||Nystatin/Triamcinolone (Topical)|Topical|Cream|100,000-1 var units||TAC||1160432|SCDG|Nystatin / Triamcinolone Topical Product
1053768|1053753|SBD|Nystatin 100000 UNT/ML / Triamcinolone Acetonide 1 MG/ML Topical Cream [Mycolog]|Topical Cream|Nystatin 100000 UNT/ML / Triamcinolone Acetonide 1 MG/ML Topical Cream|MYCOLOG|MYCOLOG (Topical)|Topical|Cream|100,000-1 var units||||1184429|SBDG|Mycolog Topical Product
1053850|1052637|SBD|Acetaminophen 500 MG / pamabrom 25 MG / Pyrilamine Maleate 15 MG Oral Tablet [Midol PMS Maximum Strength]|Oral Tablet|Acetaminophen 500 MG / pamabrom 25 MG / Pyrilamine Maleate 15 MG Oral Tablet|MIDOL PMS MAXIMUM STRENGTH|MIDOL PMS MAXIMUM STRENGTH (Oral Pill)|Oral Pill|Tab|500-25-15 mg||||1178681|SBDG|Midol PMS Maximum Strength Pill
1053852|1052637|SBD|Acetaminophen 500 MG / pamabrom 25 MG / Pyrilamine Maleate 15 MG Oral Tablet [Pamprin Multi-Symptom]|Oral Tablet|Acetaminophen 500 MG / pamabrom 25 MG / Pyrilamine Maleate 15 MG Oral Tablet|PAMPRIN MULTI-SYMPTOM|PAMPRIN MULTI-SYMPTOM (Oral Pill)|Oral Pill|Tab|500-25-15 mg||||1179908|SBDG|Pamprin Multi-Symptom Pill
1053854|978054|BPCK|{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack [Halac]|Pack|{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack|HALAC|HALAC (Pack)|Pack|Pack|mixed||||NA|NA|NA
1053859|1052690|SBD|ammonium lactate 100 MG/ML / Urea 200 MG/ML Topical Cream [Carb-O-Lac]|Topical Cream|ammonium lactate 100 MG/ML / Urea 200 MG/ML Topical Cream|CARB-O-LAC|CARB-O-LAC (Topical)|Topical|Cream|10-20%||||1173685|SBDG|Carb-O-Lac Topical Product
1053861|1052692|SBD|ammonium lactate 50 MG/ML / Urea 200 MG/ML Topical Cream [Carb-O-Lac]|Topical Cream|ammonium lactate 50 MG/ML / Urea 200 MG/ML Topical Cream|CARB-O-LAC|CARB-O-LAC (Topical)|Topical|Cream|5-20%||||1173685|SBDG|Carb-O-Lac Topical Product
105394||SCD|Dexamethasone 5 MG/ML Injectable Solution|Injectable Solution|Dexamethasone 5 MG/ML Injectable Solution||Dexamethasone (Injectable)|Injectable|Sol|5 mg/ml||||1154531|SCDG|Dexamethasone Injectable Product
105396|197783|SBD|Hydrocortisone 20 MG Oral Tablet [Hydrocortone]|Oral Tablet|Hydrocortisone 20 MG Oral Tablet|HYDROCORTONE|HYDROCORTONE (Oral Pill)|Oral Pill|Tab|20 mg||||1174842|SBDG|Hydrocortone Pill
105398|238755|SBD|Hydrocortisone 50 MG/ML Injectable Solution [Solu-Cortef]|Injectable Solution|Hydrocortisone 50 MG/ML Injectable Solution|SOLU-CORTEF|Solu-CORTEF (Injectable)|Injectable|Sol|50 mg/ml||||1184839|SBDG|Solu-Cortef Injectable Product
105403||SCD|Methylprednisolone 125 MG/ML Injectable Solution|Injectable Solution|Methylprednisolone 125 MG/ML Injectable Solution||methylPREDNISolone (Injectable)|Injectable|Sol|125 mg/ml||||1163486|SCDG|Methylprednisolone Injectable Product
105446|197411|SBD|Bromocriptine 2.5 MG Oral Tablet [Parlodel]|Oral Tablet|Bromocriptine 2.5 MG Oral Tablet|PARLODEL|PARLODEL (Oral Pill)|Oral Pill|Tab|2.5 mg||||1182382|SBDG|Parlodel Pill
105449||SCD|Gonadorelin 0.5 MG/ML Injectable Solution|Injectable Solution|Gonadorelin 0.5 MG/ML Injectable Solution||Gonadorelin (Injectable)|Injectable|Sol|0.5 mg/ml||||1156881|SCDG|Gonadorelin Injectable Product
105450|199772|SBD|Metyrapone 250 MG Oral Capsule [Metopirone]|Oral Capsule|Metyrapone 250 MG Oral Capsule|METOPIRONE|METOPIRONE (Oral Pill)|Oral Pill|Cap|250 mg||||1176950|SBDG|Metopirone Pill
105467|237212|SBD|Alprostadil 0.5 MG/ML Injectable Solution [Prostin VR]|Injectable Solution|Alprostadil 0.5 MG/ML Injectable Solution|PROSTIN VR|PROSTIN VR (Injectable)|Injectable|Sol|0.5 mg/ml||||1181859|SBDG|Prostin VR Injectable Product
105488||SCD|Povidone-Iodine 0.1 MG/MG Vaginal Gel|Vaginal Gel|Povidone-Iodine 0.1 MG/MG Vaginal Gel||Povidone-Iodine (Vaginal)|Vaginal|Gel|10%||||1161092|SCDG|Povidone-Iodine Vaginal Product
105510||SCD|Levonorgestrel 0.03 MG Oral Tablet|Oral Tablet|Levonorgestrel 0.03 MG Oral Tablet||Levonorgestrel (Oral Pill)|Oral Pill|Tab|0.03 mg||||1163478|SCDG|Levonorgestrel Pill
105517||SCD|Octoxynol 0.01 MG/MG Vaginal Gel|Vaginal Gel|Octoxynol 0.01 MG/MG Vaginal Gel||Octoxynol (Vaginal)|Vaginal|Gel|1%||||1160447|SCDG|Octoxynol Vaginal Product
105521||SCD|Carbachol 2 MG Oral Tablet|Oral Tablet|Carbachol 2 MG Oral Tablet||Carbachol (Oral Pill)|Oral Pill|Tab|2 mg||||1155758|SCDG|Carbachol Pill
105551|197422|SBD|Busulfan 2 MG Oral Tablet [Myleran]|Oral Tablet|Busulfan 2 MG Oral Tablet|MYLERAN|MYLERAN (Oral Pill)|Oral Pill|Tab|2 mg||||1185667|SBDG|Myleran Pill
105552|309012|SBD|Carmustine 33.3 MG/ML Injectable Solution [BiCNU]|Injectable Solution|Carmustine 33.3 MG/ML Injectable Solution|BICNU|BICNU (Injectable)|Injectable|Sol|33.3 mg/ml||||1173621|SBDG|BiCNU Injectable Product
105553|197462|SBD|Chlorambucil 2 MG Oral Tablet [Leukeran]|Oral Tablet|Chlorambucil 2 MG Oral Tablet|LEUKERAN|LEUKERAN (Oral Pill)|Oral Pill|Tab|2 mg||||1166067|SBDG|Leukeran Pill
105562|197919|SBD|Melphalan 2 MG Oral Tablet [Alkeran]|Oral Tablet|Melphalan 2 MG Oral Tablet|ALKERAN|ALKERAN (Oral Pill)|Oral Pill|Tab|2 mg||||1176191|SBDG|Alkeran Pill
105569|239179|SBD|Dactinomycin 0.5 MG/ML Injectable Solution [Cosmegen]|Injectable Solution|Dactinomycin 0.5 MG/ML Injectable Solution|COSMEGEN|COSMEGEN (Injectable)|Injectable|Sol|0.5 mg/ml||||1171613|SBDG|Cosmegen Injectable Product
105583||SCD|Fluorouracil 50 MG/ML Topical Cream|Topical Cream|Fluorouracil 50 MG/ML Topical Cream||Fluorouracil (Topical)|Topical|Cream|5%||5-FLUOROURACIL; 5-FU||1160832|SCDG|Fluorouracil Topical Product
105585||SCD|Methotrexate 2.5 MG Oral Tablet|Oral Tablet|Methotrexate 2.5 MG Oral Tablet||Methotrexate (Oral Pill)|Oral Pill|Tab|2.5 mg||||1162237|SCDG|Methotrexate Pill
105586||SCD|Methotrexate 10 MG Oral Tablet|Oral Tablet|Methotrexate 10 MG Oral Tablet||Methotrexate (Oral Pill)|Oral Pill|Tab|10 mg||||1162237|SCDG|Methotrexate Pill
105590|198269|SBD|Thioguanine 40 MG Oral Tablet [Tabloid]|Oral Tablet|Thioguanine 40 MG Oral Tablet|TABLOID|TABLOID (Oral Pill)|Oral Pill|Tab|40 mg||||1177821|SBDG|Tabloid Pill
105601|309638|SBD|Dacarbazine 10 MG/ML Injectable Solution [DTIC-Dome]|Injectable Solution|Dacarbazine 10 MG/ML Injectable Solution|DTIC-DOME|DTIC-DOME (Injectable)|Injectable|Sol|10 mg/ml||||1166933|SBDG|DTIC-Dome Injectable Product
105602|197797|SBD|hydroxyurea 500 MG Oral Capsule [Hydrea]|Oral Capsule|hydroxyurea 500 MG Oral Capsule|HYDREA|HYDREA (Oral Pill)|Oral Pill|Cap|500 mg||||1174067|SBDG|Hydrea Pill
105603|197989|SBD|Mitoxantrone 2 MG/ML Injectable Solution [Novantrone]|Injectable Solution|Mitoxantrone 2 MG/ML Injectable Solution|NOVANTRONE|NOVANTRONE (Injectable)|Injectable|Sol|2 mg/ml||||1178113|SBDG|Novantrone Injectable Product
105607|240573|SBD|Pentostatin 2 MG/ML Injectable Solution [Nipent]|Injectable Solution|Pentostatin 2 MG/ML Injectable Solution|NIPENT|NIPENT (Injectable)|Injectable|Sol|2 mg/ml||||1183920|SBDG|Nipent Injectable Product
105611|197388|SBD|Azathioprine 50 MG Oral Tablet [Imuran]|Oral Tablet|Azathioprine 50 MG Oral Tablet|IMURAN|IMURAN (Oral Pill)|Oral Pill|Tab|50 mg||||1172007|SBDG|Imuran Pill
105630|198240|SBD|Tamoxifen 10 MG Oral Tablet [Nolvadex]|Oral Tablet|Tamoxifen 10 MG Oral Tablet|NOLVADEX|NOLVADEX (Oral Pill)|Oral Pill|Tab|10 mg||||1185106|SBDG|Nolvadex Pill
105641|310592|SBD|Goserelin 3.6 MG Drug Implant [Zoladex]|Drug Implant|Goserelin 3.6 MG Drug Implant|ZOLADEX|ZOLADEX (Implant)|Implant|Drug Implant|3.6 mg||||1188163|SBDG|Zoladex Drug Implant Product
105648|307816|SBD|Aldesleukin 1.1 MG/ML Injectable Solution [Proleukin]|Injectable Solution|Aldesleukin 1.1 MG/ML Injectable Solution|PROLEUKIN|PROLEUKIN (Injectable)|Injectable|Sol|1.1 mg/ml||||1180698|SBDG|Proleukin Injectable Product
105686||SCD|Vitamin B 12 0.05 MG Oral Tablet|Oral Tablet|Vitamin B 12 0.05 MG Oral Tablet||Vitamin B 12 (Oral Pill)|Oral Pill|Tab|0.05 mg||||1161159|SCDG|Vitamin B 12 Pill
105751||SCD|Sodium Fluoride 3.67 MG/ML Oral Solution|Oral Solution|Sodium Fluoride 3.67 MG/ML Oral Solution||Sodium Fluoride (Oral Liquid)|Oral Liquid|Sol|3.67 mg/ml||||1159340|SCDG|Sodium Fluoride Oral Liquid Product
105823|197602|SBD|Diflunisal 250 MG Oral Tablet [Dolobid]|Oral Tablet|Diflunisal 250 MG Oral Tablet|DOLOBID|DOLOBID (Oral Pill)|Oral Pill|Tab|250 mg||||1174564|SBDG|Dolobid Pill
105824|197603|SBD|Diflunisal 500 MG Oral Tablet [Dolobid]|Oral Tablet|Diflunisal 500 MG Oral Tablet|DOLOBID|DOLOBID (Oral Pill)|Oral Pill|Tab|500 mg||||1174564|SBDG|Dolobid Pill
105825|197684|SBD|Etodolac 200 MG Oral Capsule [Lodine]|Oral Capsule|Etodolac 200 MG Oral Capsule|LODINE|LODINE (Oral Pill)|Oral Pill|Cap|200 mg||||1179158|SBDG|Lodine Pill
105826|197685|SBD|Etodolac 300 MG Oral Capsule [Lodine]|Oral Capsule|Etodolac 300 MG Oral Capsule|LODINE|LODINE (Oral Pill)|Oral Pill|Cap|300 mg||||1179158|SBDG|Lodine Pill
105898|198013|SBD|Naproxen 250 MG Oral Tablet [Naprosyn]|Oral Tablet|Naproxen 250 MG Oral Tablet|NAPROSYN|NAPROSYN (Oral Pill)|Oral Pill|Tab|250 mg||||1179305|SBDG|Naprosyn Pill
105899|198014|SBD|Naproxen 500 MG Oral Tablet [Naprosyn]|Oral Tablet|Naproxen 500 MG Oral Tablet|NAPROSYN|NAPROSYN (Oral Pill)|Oral Pill|Tab|500 mg||||1179305|SBDG|Naprosyn Pill
105914|198012|SBD|Naproxen 375 MG Oral Tablet [Naprosyn]|Oral Tablet|Naproxen 375 MG Oral Tablet|NAPROSYN|NAPROSYN (Oral Pill)|Oral Pill|Tab|375 mg||||1179305|SBDG|Naprosyn Pill
105929|198107|SBD|Piroxicam 10 MG Oral Capsule [Feldene]|Oral Capsule|Piroxicam 10 MG Oral Capsule|FELDENE|FELDENE (Oral Pill)|Oral Pill|Cap|10 mg||||1176009|SBDG|Feldene Pill
105930|198108|SBD|Piroxicam 20 MG Oral Capsule [Feldene]|Oral Capsule|Piroxicam 20 MG Oral Capsule|FELDENE|FELDENE (Oral Pill)|Oral Pill|Cap|20 mg||||1176009|SBDG|Feldene Pill
105942||SCD|Piroxicam 20 MG Rectal Suppository|Rectal Suppository|Piroxicam 20 MG Rectal Suppository||Piroxicam (Rectal)|Rectal|Suppository|20 mg||||1159306|SCDG|Piroxicam Rectal Product
105944|198239|SBD|Sulindac 200 MG Oral Tablet [Clinoril]|Oral Tablet|Sulindac 200 MG Oral Tablet|CLINORIL|CLINORIL (Oral Pill)|Oral Pill|Tab|200 mg||||1173006|SBDG|Clinoril Pill
105954||SCD|tenoxicam 20 MG Oral Tablet|Oral Tablet|tenoxicam 20 MG Oral Tablet||Tenoxicam (Oral Pill)|Oral Pill|Tab|20 mg||||1161493|SCDG|tenoxicam Pill
106042|197594|SBD|Dichlorphenamide 50 MG Oral Tablet [Daranide]|Oral Tablet|Dichlorphenamide 50 MG Oral Tablet|DARANIDE|DARANIDE (Oral Pill)|Oral Pill|Tab|50 mg||||1168166|SBDG|Daranide Pill
